file_path,original_path,word,speaker,duration,rms_energy,snr,quality_score
processed_audio\اثنين\Ahmed_0_processed.wav,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\0.wav,اثنين,Ahmed,3.0,0.05413598186727937,-0.037973492962476665,0.5
processed_audio\اثنين\Ahmed_1_processed.wav,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\1.wav,اثنين,Ahmed,3.0,0.10413830695647475,13.889744068002399,0.7999999999999999
processed_audio\اثنين\Asem_10_processed.wav,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\10.wav,اثنين,Asem,3.0,0.03548600897192955,-inf,0.30000000000000004
processed_audio\اثنين\Asem_11_processed.wav,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\11.wav,اثنين,Asem,3.0,0.03269645944237709,-inf,0.30000000000000004
processed_audio\اثنين\Asem_12_processed.wav,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\12.wav,اثنين,Asem,3.0,0.04038204997777939,-inf,0.30000000000000004
processed_audio\اثنين\Haifa_14_processed.wav,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\14.wav,اثنين,Haifa,3.0,0.038594916462898254,32.19040298461914,0.7
processed_audio\اثنين\Haifa_15_processed.wav,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\15.wav,اثنين,Haifa,3.0,0.037743569424175526,28.379257884108764,0.7
processed_audio\اثنين\Haifa_16_processed.wav,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\16.wav,اثنين,Haifa,3.0,0.026447514072060585,-inf,0.30000000000000004
processed_audio\اثنين\Haifa_17_processed.wav,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\17.wav,اثنين,Haifa,3.0,0.04300001636147499,8.008720397949219,0.6
processed_audio\اثنين\Haifa_18_processed.wav,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\18.wav,اثنين,Haifa,3.0,0.04692758247256279,0.48631250858306885,0.4
processed_audio\اثنين\Haifa_19_processed.wav,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\19.wav,اثنين,Haifa,3.0,0.044391777366399765,6.886353015899658,0.6
processed_audio\اثنين\Ahmed_2_processed.wav,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\2.wav,اثنين,Ahmed,3.0,0.04636135324835777,29.174964904785156,0.7999999999999999
processed_audio\اثنين\Haifa_20_processed.wav,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\20.wav,اثنين,Haifa,3.0,0.04077322781085968,18.446144104003906,0.7
processed_audio\اثنين\Aseel_21_processed.wav,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\21.wav,اثنين,Aseel,3.0,0.025742860032255885,-inf,0.30000000000000004
processed_audio\اثنين\Aseel_22_processed.wav,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\22.wav,اثنين,Aseel,3.0,0.030063072219491005,-inf,0.30000000000000004
processed_audio\اثنين\Aseel_23_processed.wav,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\23.wav,اثنين,Aseel,3.0,0.0676976814866066,13.358579635620117,0.7999999999999999
processed_audio\اثنين\Aseel_25_processed.wav,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\25.wav,اثنين,Aseel,3.0,0.038890812546014786,-inf,0.30000000000000004
processed_audio\اثنين\Aseel_26_processed.wav,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\26.wav,اثنين,Aseel,3.0,0.03373563289642334,-inf,0.30000000000000004
processed_audio\اثنين\Aseel_27_processed.wav,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\27.wav,اثنين,Aseel,3.0,0.02819788827412377,-inf,0.30000000000000004
processed_audio\اثنين\Aseel_28_processed.wav,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\28.wav,اثنين,Aseel,3.0,0.06715898960828781,4.000850200653076,0.5
processed_audio\اثنين\Ahmed_3_processed.wav,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\3.wav,اثنين,Ahmed,3.0,0.09952067380046997,9.70023327694978,0.7
processed_audio\اثنين\Ahmed_4_processed.wav,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\4.wav,اثنين,Ahmed,3.0,0.0576960439127367,7.004744412473132,0.7
processed_audio\اثنين\Ahmed_5_processed.wav,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\5.wav,اثنين,Ahmed,3.0,0.07185095106995942,11.109736631779265,0.7999999999999999
processed_audio\اثنين\Ahmed_6_processed.wav,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\6.wav,اثنين,Ahmed,3.0,0.08297269651093986,5.703946303636796,0.7
processed_audio\اثنين\Asem_7_processed.wav,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\7.wav,اثنين,Asem,3.0,0.04274507239460945,6.202592372894287,0.6
processed_audio\اثنين\Asem_8_processed.wav,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\8.wav,اثنين,Asem,3.0,0.030453523620963097,-inf,0.30000000000000004
processed_audio\اثنين\Asem_9_processed.wav,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\9.wav,اثنين,Asem,3.0,0.03720933943986893,-inf,0.30000000000000004
processed_audio\احمر\Haifa_14_processed.wav,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\احمر\14.wav,احمر,Haifa,3.0,0.02648763917386532,-inf,0.30000000000000004
processed_audio\احمر\Haifa_15_processed.wav,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\احمر\15.wav,احمر,Haifa,3.0,0.037810324045231256,-1.0977940347622341,0.4
processed_audio\احمر\Haifa_16_processed.wav,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\احمر\16.wav,احمر,Haifa,3.0,0.050291701303804955,-2.226134345877866,0.6
processed_audio\احمر\Haifa_17_processed.wav,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\احمر\17.wav,احمر,Haifa,3.0,0.04076515821405466,1.1927485111414142,0.4
processed_audio\احمر\Haifa_18_processed.wav,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\احمر\18.wav,احمر,Haifa,3.0,0.030646124429124705,-inf,0.30000000000000004
processed_audio\احمر\Aseel_21_processed.wav,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\احمر\21.wav,احمر,Aseel,3.0,0.03132786601781845,-inf,0.30000000000000004
processed_audio\احمر\Aseel_22_processed.wav,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\احمر\22.wav,احمر,Aseel,3.0,0.032326918095350266,-inf,0.30000000000000004
processed_audio\احمر\Aseel_23_processed.wav,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\احمر\23.wav,احمر,Aseel,3.0,0.02437787689268589,-inf,0.30000000000000004
processed_audio\احمر\Aseel_24_processed.wav,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\احمر\24.wav,احمر,Aseel,3.0,0.02626209333539009,-inf,0.30000000000000004
processed_audio\احمر\Aseel_25_processed.wav,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\احمر\25.wav,احمر,Aseel,3.0,0.03213506564497948,-inf,0.30000000000000004
processed_audio\اخ\Ahmed_0_processed.wav,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اخ\0.wav,اخ,Ahmed,3.0,0.07644803282452815,-3.9857536308021144,0.6
processed_audio\اخ\Ahmed_1_processed.wav,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اخ\1.wav,اخ,Ahmed,3.0,0.07365779752514064,-0.6859407930769384,0.5
processed_audio\اخ\Ahmed_2_processed.wav,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اخ\2.wav,اخ,Ahmed,3.0,0.09211471543315615,-3.617424886373172,0.6
processed_audio\اخ\Aseel_21_processed.wav,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اخ\21.wav,اخ,Aseel,3.0,0.06352397799491882,9.63626480102539,0.7
processed_audio\اخ\Aseel_22_processed.wav,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اخ\22.wav,اخ,Aseel,3.0,0.03422721475362778,-inf,0.30000000000000004
processed_audio\اخ\Aseel_24_processed.wav,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اخ\24.wav,اخ,Aseel,3.0,0.059353142976760864,10.790102005004883,0.7999999999999999
processed_audio\اخ\Ahmed_3_processed.wav,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اخ\3.wav,اخ,Ahmed,3.0,0.0338556381696357,-inf,0.30000000000000004
processed_audio\اخ\Ahmed_4_processed.wav,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اخ\4.wav,اخ,Ahmed,3.0,0.0864214908894904,2.597643492334589,0.6
processed_audio\اخ\Ahmed_5_processed.wav,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اخ\5.wav,اخ,Ahmed,3.0,0.07676315561811783,-2.7635886008079873,0.5
processed_audio\اخ\Ahmed_6_processed.wav,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اخ\6.wav,اخ,Ahmed,3.0,0.0840477866968304,-1.4349119311630347,0.5
processed_audio\اخت\Ahmed_1_processed.wav,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اخت\1.wav,اخت,Ahmed,3.0,0.027388633051172766,-inf,0.30000000000000004
processed_audio\اخت\Ahmed_2_processed.wav,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اخت\2.wav,اخت,Ahmed,3.0,0.04091427052346431,-inf,0.30000000000000004
processed_audio\اخت\Aseel_21_processed.wav,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اخت\21.wav,اخت,Aseel,3.0,0.05446399137989202,-3.433732396441163,0.5
processed_audio\اخت\Aseel_22_processed.wav,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اخت\22.wav,اخت,Aseel,3.0,0.04255193461075583,-3.6738465825926907,0.4
processed_audio\اخت\Aseel_23_processed.wav,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اخت\23.wav,اخت,Aseel,3.0,0.026895257575188763,-inf,0.30000000000000004
processed_audio\اخت\Aseel_24_processed.wav,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اخت\24.wav,اخت,Aseel,3.0,0.024677813547494775,-inf,0.30000000000000004
processed_audio\اخت\Ahmed_3_processed.wav,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اخت\3.wav,اخت,Ahmed,3.0,0.04497225503959955,-inf,0.30000000000000004
