file_path,word,speaker,duration,quality_score
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\0.wav,اثنين,Ahmed,0.635125,0.6
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\1.wav,اثنين,Ahmed,0.7295625,0.4
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\10.wav,اثنين,Asem,0.945125,0.4
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\11.wav,اثنين,Asem,1.1373125,0.7999999999999999
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\12.wav,اثنين,Asem,1.1084375,0.6
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\14.wav,اثنين,Haifa,0.58575,0.4
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\15.wav,اثنين,Haifa,0.366125,0.6
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\16.wav,اثنين,Haifa,0.785875,0.6
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\17.wav,اثنين,Haifa,0.7029375,0.6
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\18.wav,اثنين,Haifa,0.659,0.6
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\19.wav,اثنين,Haifa,0.56625,0.4
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\2.wav,اثنين,Ahmed,0.597125,0.6
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\20.wav,اثنين,Haifa,0.6150625,0.6
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\21.wav,اثنين,Aseel,0.76625,0.6
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\22.wav,اثنين,Aseel,1.29325,0.6
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\23.wav,اثنين,Aseel,0.5910625,0.6
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\25.wav,اثنين,Aseel,0.8599375,0.4
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\26.wav,اثنين,Aseel,1.0015625,0.6
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\27.wav,اثنين,Aseel,0.8306875,0.4
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\28.wav,اثنين,Aseel,0.523875,0.4
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\3.wav,اثنين,Ahmed,0.6385625,0.6
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\4.wav,اثنين,Ahmed,0.5143125,0.7999999999999999
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\5.wav,اثنين,Ahmed,0.6040625,0.6
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\6.wav,اثنين,Ahmed,0.5660625,0.7999999999999999
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\7.wav,اثنين,Asem,0.7430625,0.4
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\8.wav,اثنين,Asem,1.0200625,0.7999999999999999
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\9.wav,اثنين,Asem,0.9338125,0.4
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\احمر\14.wav,احمر,Haifa,0.87275,0.7999999999999999
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\احمر\15.wav,احمر,Haifa,0.4444375,0.7999999999999999
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\احمر\16.wav,احمر,Haifa,0.69175,0.7999999999999999
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\احمر\17.wav,احمر,Haifa,0.6361875,0.7999999999999999
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\احمر\18.wav,احمر,Haifa,0.9283125,0.7999999999999999
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\احمر\21.wav,احمر,Aseel,0.83875,0.6
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\احمر\22.wav,احمر,Aseel,0.8008125,0.6
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\احمر\23.wav,احمر,Aseel,0.793875,0.6
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\احمر\24.wav,احمر,Aseel,0.7628125,0.6
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\احمر\25.wav,احمر,Aseel,1.1114375,0.7999999999999999
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اخ\0.wav,اخ,Ahmed,0.561375,0.6
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اخ\1.wav,اخ,Ahmed,0.414875,0.6
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اخ\2.wav,اخ,Ahmed,0.693125,0.4
